Age,Gender,Education Level,Marital Status,Income,Credit Score,Loan Amount,Loan Purpose,Employment Status,Years at Current Job,Payment History,Debt-to-Income Ratio,Assets Value,Number of Dependents,City,State,Country,Previous Defaults,Marital Status Change,Risk Rating
41,Male,PhD,Married,93133,791,14052,Business,Employed,13,Poor,0.282850057,82774,0,Lewisland,AZ,South Georgia and the South Sandwich Islands,1,0,Low
64,Female,PhD,Married,,749,38635,Personal,Self-employed,16,Fair,0.320230266,,3,West James,OR,Palau,0,1,Low
64,Male,PhD,Married,,636,21086,Auto,Employed,13,Fair,0.460985402,261445,,South Ryan,IA,Tokelau,4,2,Low
49,Non-binary,High School,Divorced,109882,,35938,Home,Unemployed,3,Excellent,0.489437675,237388,,Pattersonshire,GA,Hungary,2,0,Low
48,Non-binary,PhD,Married,46408,632,48403,Personal,Unemployed,16,Excellent,0.185325306,93647,3,South Jason,KS,Guyana,1,0,Low
69,Non-binary,PhD,Single,38065,,15818,Business,Self-employed,8,Poor,0.391979313,107451,3,South Peterbury,ID,Cote d'Ivoire,0,1,Low
57,Female,Bachelor's,Widowed,,673,16398,Business,Self-employed,8,Fair,0.483784345,159119,1,West Michael,TN,Nauru,1,0,Low
46,Non-binary,High School,Widowed,,637,6382,Auto,Self-employed,2,Good,0.5443904,156010,4,Kevinbury,NM,Guam,2,1,Low
57,Female,Master's,Single,54754,604,11947,Home,Self-employed,13,Good,0.287418594,282006,,Berryland,VT,Thailand,2,0,High
41,Non-binary,High School,Divorced,109379,606,5252,Home,Self-employed,16,Poor,0.454458037,,2,South Josefurt,OR,Belize,,2,Low
47,Female,High School,Single,33065,783,6895,Auto,Self-employed,2,Fair,0.116680916,158428,3,West Sharon,AL,Seychelles,2,0,Low
64,Male,Master's,Single,,,,Personal,Unemployed,16,Excellent,0.458481351,108664,,Lake Joshuahaven,MO,Sao Tome and Principe,,1,Low
35,Female,PhD,Divorced,42787,,14949,Home,Employed,19,Excellent,0.224991083,227655,4,West Donna,WY,Svalbard & Jan Mayen Islands,2,2,Low
18,Female,Master's,Divorced,,748,14522,Home,Unemployed,14,Good,0.562809958,176629,,Campbellfort,AL,China,1,2,Low
21,Male,Bachelor's,Widowed,73952,631,49525,Auto,Unemployed,3,Excellent,0.143644091,32912,0,West Denisebury,KY,French Guiana,1,2,Low
67,Non-binary,Master's,Divorced,54247,,5011,Personal,Unemployed,7,Excellent,0.344651883,239162,3,Mataside,AZ,Iceland,0,0,Low
30,Female,Bachelor's,Divorced,59593,691,,Business,Unemployed,8,Good,0.424079453,279118,3,Mckeeborough,RI,Martinique,2,0,Low
28,Non-binary,Bachelor's,Married,69237,,46898,Personal,Employed,12,Excellent,0.516255497,89494,1,Conniehaven,VT,Tajikistan,3,2,Low
68,Female,PhD,Single,59300,,34783,Auto,Employed,3,Excellent,0.235760539,270400,,West Patrick,WY,Bouvet Island (Bouvetoya),0,2,Low
59,Non-binary,Bachelor's,Married,82233,,45345,Personal,Self-employed,9,Poor,0.471530629,208180,1,South Heather,DE,Kuwait,4,1,Low
64,Non-binary,Bachelor's,Married,,763,,Business,Employed,6,Fair,0.302038878,272412,2,Williamston,WV,British Indian Ocean Territory (Chagos Archipelago),1,0,Low
27,Non-binary,Bachelor's,Married,93728,727,,Auto,Unemployed,11,Poor,0.407184509,203446,1,West Davidchester,AS,Singapore,,1,Low
36,Male,Bachelor's,Divorced,29868,635,12521,Auto,Employed,17,Excellent,0.350454133,240325,2,Wendyshire,ND,Dominica,4,0,Low
36,Female,Master's,Married,68776,612,47707,Personal,Unemployed,11,Fair,0.332396791,68491,0,Port Christopher,NY,Brunei Darussalam,1,1,Low
54,Female,Bachelor's,Married,98669,720,19464,Business,Unemployed,2,Poor,0.167904091,26571,0,Smithview,IA,French Polynesia,1,0,High
19,Non-binary,Master's,Single,112545,712,15503,Home,Unemployed,7,Poor,0.252172854,194154,0,Ibarraport,NJ,Zimbabwe,4,0,Low
39,Non-binary,PhD,Widowed,118717,647,10656,Home,Self-employed,12,Poor,0.185634504,168504,1,Dennismouth,WY,Serbia,,2,Low
55,Female,Bachelor's,Divorced,63915,,10084,Personal,Employed,7,Good,0.362397446,,2,Wilsonton,MH,San Marino,1,0,High
34,Female,Master's,Widowed,67046,,11753,Personal,Unemployed,12,Fair,0.319500175,90851,,Hinesberg,DE,Kazakhstan,0,2,Low
65,Male,Master's,Divorced,106526,650,23161,Auto,Employed,19,Poor,0.544867397,98025,4,Richardbury,ID,Armenia,0,0,Low
68,Non-binary,Master's,Married,,700,23834,Auto,Employed,1,Excellent,0.168123709,147082,4,Johnsonview,IL,Netherlands,2,0,Low
20,Male,Master's,Widowed,,692,16283,Home,Self-employed,4,Good,0.466075526,144758,3,New Laurabury,MA,Somalia,1,1,Low
62,Female,Bachelor's,Single,31063,793,,Personal,Self-employed,7,Good,0.143936101,226298,1,South Darrell,VI,Latvia,,1,Low
35,Female,High School,Married,,,9833,Personal,Self-employed,17,Fair,0.155495082,131120,2,Cynthiashire,CO,Mexico,,0,High
66,Female,Bachelor's,Single,,,23993,Personal,Self-employed,19,Poor,0.150792729,60925,2,Thomasmouth,MP,French Southern Territories,,2,Low
50,Non-binary,Master's,Single,56108,796,,Personal,Self-employed,4,Excellent,0.111494703,97144,2,Michelleland,CO,Kazakhstan,3,1,High
31,Female,Bachelor's,Married,69625,636,15188,Home,Unemployed,19,Excellent,0.506634373,,0,Davisport,NJ,Sao Tome and Principe,1,0,Low
38,Non-binary,Master's,Divorced,82093,726,20454,Home,Self-employed,5,Good,0.190221959,39434,2,East Brian,PW,South Africa,,0,High
39,Female,Master's,Widowed,100015,615,23114,Business,Unemployed,14,Poor,0.484642491,85309,0,New Meganshire,NV,French Polynesia,3,0,Low
50,Female,Master's,Divorced,96293,708,21552,Auto,Employed,3,Excellent,0.12939421,255942,4,Port Amy,FM,Egypt,0,1,Low
49,Non-binary,Bachelor's,Single,30680,,24840,Auto,Self-employed,5,Excellent,0.243023798,101996,,Port Rebecca,CA,Svalbard & Jan Mayen Islands,3,1,Low
24,Male,Bachelor's,Single,,627,,Personal,Self-employed,12,Fair,0.255696688,147499,3,East Helenhaven,VT,French Southern Territories,4,2,Low
38,Non-binary,Bachelor's,Single,48069,670,17841,Home,Unemployed,17,Excellent,0.157519127,241550,2,Jacksonmouth,WA,Jordan,0,2,Low
28,Female,High School,Married,56895,,,Personal,Self-employed,14,Poor,0.227617324,128403,2,North Marcbury,WA,Turkey,1,1,Low
35,Female,PhD,Married,72433,792,5747,Business,Self-employed,4,Good,0.327373935,112076,0,Andreaborough,NC,Thailand,3,2,Low
56,Female,Master's,Single,,734,40516,Auto,Self-employed,9,Poor,0.378206875,203231,1,New Zachary,IN,Swaziland,3,1,Low
22,Non-binary,Master's,Widowed,65266,617,34746,Home,Unemployed,18,Poor,0.268944281,40215,4,Taylormouth,ND,Botswana,1,1,Low
40,Male,Master's,Widowed,98578,663,8747,Auto,Self-employed,1,Good,0.514670637,37396,0,Jacobview,WV,Russian Federation,0,1,Low
39,Male,High School,Married,90227,770,18079,Business,Employed,3,Poor,0.518758954,163838,1,South Brianna,GU,Mali,0,1,Low
31,Non-binary,High School,Divorced,107081,740,18101,Business,Employed,5,Poor,0.108793817,25157,2,Gordonbury,AL,Ukraine,1,2,Low
45,Female,High School,Widowed,82878,748,17023,Auto,Self-employed,19,Poor,0.584911257,192705,4,Penamouth,NH,Ethiopia,4,1,Low
62,Non-binary,Bachelor's,Widowed,46439,645,,Auto,Employed,6,Poor,0.443604125,277288,,East Kevinmouth,VI,Togo,,2,Low
34,Non-binary,High School,Widowed,44085,687,,Home,Unemployed,9,Poor,0.448937891,253262,2,Lake Ashleyland,AR,Belize,0,1,Low
19,Male,High School,Married,35817,731,44426,Home,Unemployed,1,Fair,0.505459747,20626,1,East Triciatown,WI,Angola,0,2,Low
36,Female,High School,Married,65104,699,44260,Home,Employed,2,Excellent,0.337761725,135458,4,Zacharyhaven,NM,Guatemala,2,2,Low
23,Male,Bachelor's,Single,28906,724,24532,Business,Unemployed,3,Poor,0.500613651,96640,2,Lake Evelynstad,CA,Monaco,0,0,Low
22,Male,Master's,Widowed,104766,764,16117,Business,Unemployed,17,Good,0.211525061,156630,3,New Shannonberg,KY,Gambia,3,1,Low
41,Female,Master's,Widowed,79556,742,5235,Home,Employed,5,Excellent,0.322356139,247857,0,Onealfurt,WA,Romania,4,0,Low
31,Female,PhD,Widowed,105141,,41006,Auto,Self-employed,3,Good,0.162774178,26499,3,Traceyton,SD,Suriname,1,2,Low
58,Non-binary,High School,Widowed,20947,776,38756,Personal,Unemployed,0,Good,0.218403224,91848,4,North Jeff,MT,Burundi,,1,Low
44,Female,High School,Divorced,30295,686,,Home,Unemployed,19,Good,0.252783311,,0,East Ian,PW,Costa Rica,0,2,Low
33,Male,PhD,Single,,624,47874,Personal,Employed,13,Excellent,0.455208343,28057,1,North Jodyside,NM,Brazil,,1,Low
40,Male,Master's,Married,83865,663,15896,Auto,Unemployed,6,Excellent,0.358704651,,3,West Jeffrey,MT,India,0,2,Low
53,Female,High School,Married,51236,718,31196,Personal,Self-employed,3,Poor,0.168630607,45029,1,Ellenbury,AS,Uruguay,,1,Low
18,Non-binary,Master's,Single,,651,18653,Home,Self-employed,16,Good,0.49222995,226806,0,Curtisville,PW,Mayotte,3,1,High
36,Non-binary,PhD,Divorced,101863,688,31132,Business,Employed,2,Poor,0.219403114,149141,3,Dunnhaven,MN,Saint Pierre and Miquelon,,2,Low
67,Male,Master's,Widowed,107366,655,20154,Home,Employed,9,Poor,0.416617868,108345,4,New Valerie,GA,Monaco,4,1,Low
62,Female,PhD,Widowed,101848,699,45635,Home,Self-employed,7,Poor,0.591653333,,,Payneville,NH,Kuwait,,2,High
60,Female,PhD,Married,74030,711,9459,Personal,Unemployed,19,Fair,0.160676888,96641,2,Lake Daniel,PW,Argentina,0,2,Low
59,Male,PhD,Single,103794,,9288,Auto,Unemployed,2,Excellent,0.412109478,195205,,Williamsport,WV,Paraguay,2,1,Low
50,Male,Bachelor's,Married,79300,697,26963,Home,Employed,1,Good,0.216722419,,,New Derekmouth,MH,Mozambique,0,1,Low
64,Male,PhD,Single,101855,686,48584,Auto,Self-employed,9,Good,0.572524406,138039,3,East Keith,MS,El Salvador,3,1,Low
40,Male,PhD,Single,89535,624,12990,Auto,Unemployed,6,Good,0.117355071,48187,,South Haileyview,NC,Suriname,3,2,Low
18,Non-binary,PhD,Divorced,107329,735,22694,Home,Self-employed,1,Poor,0.23280902,71327,4,East Michael,MP,Netherlands Antilles,,1,Low
42,Non-binary,Master's,Widowed,61048,,17631,Business,Employed,19,Excellent,0.266383747,252248,1,Strongport,OH,Russian Federation,3,0,Low
39,Non-binary,High School,Widowed,99622,720,23158,Auto,Employed,6,Good,0.419813928,65046,4,New Ashley,MN,El Salvador,2,1,Low
28,Female,PhD,Single,64541,703,20017,Auto,Self-employed,1,Good,0.206311988,24856,4,Lake Keithtown,MO,Suriname,1,1,High
53,Non-binary,PhD,Single,26613,771,6982,Auto,Employed,5,Fair,0.107198287,56108,2,Gouldbury,CO,Maldives,,0,Low
40,Male,Bachelor's,Divorced,,721,41599,Auto,Unemployed,19,Fair,0.363903795,234986,,South Amanda,HI,Iran,1,1,Low
31,Female,PhD,Widowed,50885,669,18293,Home,Unemployed,7,Poor,0.258570035,99103,4,Margaretchester,KY,Mayotte,3,2,Low
20,Non-binary,Master's,Widowed,91540,760,,Business,Employed,16,Poor,0.232628264,177884,,East Territown,NE,Wallis and Futuna,0,0,Low
36,Female,Bachelor's,Divorced,44283,755,42326,Personal,Self-employed,7,Poor,0.116135309,228890,4,Turnerchester,NV,Micronesia,0,2,Low
59,Female,High School,Single,60385,743,30961,Business,Self-employed,19,Excellent,0.383779017,222830,4,Greenport,WV,Azerbaijan,2,0,Low
36,Non-binary,Bachelor's,Single,69895,680,13132,Business,Unemployed,18,Poor,0.593281265,,2,Heathermouth,ME,Turkey,0,0,Low
60,Male,High School,Divorced,61559,623,9038,Home,Unemployed,16,Fair,0.530640775,,1,New Kevin,OH,Guinea-Bissau,,1,Low
63,Female,High School,Single,40113,722,5044,Personal,Employed,1,Excellent,0.496244458,159493,3,New Martinberg,OR,Cyprus,,2,Low
43,Female,Bachelor's,Single,29797,727,10640,Business,Self-employed,14,Excellent,0.509303064,89291,4,Frankport,NE,Austria,3,0,Low
62,Female,PhD,Divorced,115923,726,37406,Personal,Self-employed,17,Good,0.287310878,154178,1,West Elizabethside,MA,Peru,2,1,High
39,Male,High School,Single,117661,763,8876,Home,Unemployed,15,Poor,0.565118423,,2,New Brianshire,PW,Armenia,2,1,Low
22,Female,High School,Widowed,69738,727,15974,Auto,Self-employed,10,Good,0.387483457,238717,1,New Kathryn,OR,Norway,0,1,Low
37,Non-binary,PhD,Divorced,76795,645,33454,Personal,Self-employed,13,Excellent,0.508511242,40258,4,Andreaborough,NV,Bangladesh,3,0,Low
58,Male,PhD,Single,69029,,39742,Auto,Unemployed,12,Fair,0.369606846,,4,Phillipsbury,AL,American Samoa,4,1,Low
47,Female,PhD,Married,65463,710,,Home,Unemployed,4,Good,0.509355158,230368,4,Anthonyside,NH,Ireland,4,2,Low
58,Non-binary,Bachelor's,Single,,791,34903,Auto,Self-employed,7,Good,0.177489309,236635,3,New Marisashire,NE,Namibia,0,0,Low
51,Non-binary,Bachelor's,Married,40561,632,42722,Personal,Unemployed,3,Good,0.381899834,,,North Feliciaville,VA,Iran,0,2,Low
27,Non-binary,High School,Widowed,61232,643,46522,Business,Unemployed,6,Fair,0.151099075,285561,2,Villafurt,RI,Sao Tome and Principe,2,0,Low
56,Non-binary,Bachelor's,Widowed,,728,42333,Home,Employed,17,Good,0.345462911,,2,Amandabury,NC,Australia,3,2,Low
34,Female,High School,Widowed,118679,731,40823,Auto,Employed,6,Poor,0.353951633,63853,,North Jeremy,AS,Georgia,0,2,Low
65,Male,Master's,Single,89126,643,38741,Auto,Employed,0,Excellent,0.131449159,50589,1,New Julieside,AK,Martinique,4,0,High
34,Female,PhD,Divorced,35198,718,,Business,Unemployed,9,Good,0.155828771,222837,,Port Matthew,NE,Panama,3,1,Low
66,Non-binary,PhD,Widowed,104677,784,24588,Home,Unemployed,9,Fair,0.304836002,50584,4,South Karen,NM,Finland,4,0,Low
30,Non-binary,PhD,Single,,699,29559,Home,Unemployed,10,Poor,0.181094003,203837,0,North Amber,NE,United States Virgin Islands,0,0,Low
27,Non-binary,Master's,Divorced,80523,604,13043,Auto,Employed,15,Excellent,0.112270249,201865,3,North Jessicachester,WY,Andorra,4,1,Low
61,Non-binary,PhD,Divorced,,604,29783,Personal,Employed,13,Excellent,0.410342991,,3,Humphreymouth,CO,Cocos (Keeling) Islands,1,2,High
67,Female,Bachelor's,Divorced,,750,46529,Auto,Self-employed,19,Fair,0.448739802,290306,0,Hodgesville,NV,Micronesia,0,1,Low
32,Non-binary,Master's,Married,91656,661,,Personal,Self-employed,1,Excellent,0.515295615,,4,Amyview,CO,United Arab Emirates,,2,High
46,Female,PhD,Divorced,81289,722,,Auto,Employed,13,Fair,0.248479439,103462,3,East Brenda,TN,Burkina Faso,3,2,Low
35,Male,Bachelor's,Widowed,,711,15286,Personal,Employed,1,Excellent,0.383451591,156329,,North Taylorville,NV,Niger,2,0,Low
37,Female,PhD,Single,20987,640,8042,Home,Employed,12,Fair,0.442812684,55772,3,Bradleyshire,NE,Falkland Islands (Malvinas),1,1,Low
24,Non-binary,Master's,Widowed,61876,791,7070,Personal,Unemployed,0,Excellent,0.114673538,131369,2,East Stephentown,SD,Slovakia (Slovak Republic),,0,Low
31,Female,Master's,Widowed,108454,716,33552,Personal,Unemployed,8,Poor,0.588002314,24976,,South Danielleview,VT,Chile,2,0,High
25,Male,Master's,Widowed,,753,,Personal,Self-employed,7,Excellent,0.104689105,101481,2,Lake Brendan,AS,Brunei Darussalam,3,1,Low
18,Female,PhD,Single,87346,,26863,Home,Employed,11,Poor,0.556599054,164061,3,South Jeremyfurt,AK,Cote d'Ivoire,3,1,Low
43,Female,PhD,Divorced,,705,12071,Business,Employed,8,Good,0.119108756,85658,,Andrewshire,DE,Djibouti,2,0,Low
53,Female,High School,Married,31340,790,6687,Business,Self-employed,4,Excellent,0.195110048,,2,Charlesstad,OH,Samoa,,2,Low
61,Non-binary,Master's,Widowed,88056,684,9746,Personal,Employed,15,Good,0.361356668,48339,,Meganfurt,NE,Comoros,,0,Low
25,Male,PhD,Single,115287,,9520,Auto,Unemployed,3,Excellent,0.39251234,69459,3,Darrenstad,NH,Iran,1,2,Low
21,Male,Bachelor's,Divorced,39330,769,27489,Home,Self-employed,14,Excellent,0.454610825,284455,3,Martinezmouth,PA,Costa Rica,0,2,Low
52,Non-binary,PhD,Divorced,111594,715,9174,Home,Unemployed,4,Good,0.100815126,137074,2,Victoriamouth,MN,Western Sahara,2,1,Low
34,Non-binary,Bachelor's,Widowed,,793,21504,Auto,Employed,12,Good,0.435937741,179496,2,Karenton,KS,Mali,2,1,Low
18,Non-binary,High School,Divorced,27313,786,24399,Auto,Self-employed,10,Excellent,0.15104681,284643,4,Traceyshire,FL,North Macedonia,,2,Low
46,Male,PhD,Widowed,87228,602,,Personal,Self-employed,7,Poor,0.555169433,182601,4,Port Scottville,VT,Puerto Rico,4,1,Low
63,Female,Bachelor's,Divorced,101844,688,9667,Home,Employed,1,Excellent,0.251662122,61882,,West Robin,IL,Somalia,4,2,Low
32,Male,Master's,Widowed,102949,637,38759,Auto,Self-employed,18,Poor,0.351584417,,0,Stanleyborough,PW,Pakistan,,0,Low
65,Female,High School,Divorced,,618,27165,Home,Self-employed,4,Poor,0.242235447,219776,2,Jonesfurt,SD,Antarctica (the territory South of 60 deg S),2,1,Low
36,Non-binary,Master's,Single,42942,,5346,Home,Self-employed,7,Good,0.13836783,146854,4,Hannahtown,PW,Netherlands,0,2,Low
43,Non-binary,High School,Divorced,111205,736,,Business,Self-employed,4,Poor,0.273947007,,3,Ramirezshire,WV,Mauritania,,1,Low
54,Male,Bachelor's,Married,114486,704,32353,Auto,Self-employed,7,Poor,0.400318279,222630,1,Jarviston,KY,Saint Pierre and Miquelon,1,1,Low
34,Female,Bachelor's,Single,42064,760,39482,Personal,Employed,0,Excellent,0.201900219,243318,0,Krystalberg,PA,Lesotho,3,2,Low
48,Male,PhD,Single,91982,602,33381,Home,Unemployed,7,Poor,0.523766671,,,Englishfurt,OR,Mali,3,1,Low
45,Male,Bachelor's,Divorced,85839,686,29177,Business,Self-employed,11,Excellent,0.260055213,114053,0,Port Vickie,LA,New Caledonia,4,0,Low
20,Non-binary,Bachelor's,Single,109590,625,41449,Personal,Self-employed,16,Fair,0.519828253,114922,1,Annettemouth,PR,Cape Verde,4,2,Low
47,Male,Master's,Widowed,105237,,14212,Personal,Unemployed,2,Fair,0.302355198,265480,4,Lake Susan,GA,Senegal,1,1,Low
49,Non-binary,Bachelor's,Married,105916,750,6324,Personal,Unemployed,17,Poor,0.269984459,89195,2,New Phillip,SD,Peru,1,1,High
50,Female,Bachelor's,Single,29879,,34733,Business,Employed,13,Excellent,0.355564145,133149,0,Port Ericaside,NE,Martinique,1,0,Low
62,Non-binary,Master's,Single,74850,650,17324,Personal,Self-employed,14,Excellent,0.191276675,151244,0,New Catherineton,OR,Marshall Islands,0,2,Low
40,Male,Bachelor's,Single,90179,693,32825,Personal,Self-employed,5,Good,0.584147345,129600,3,Brownville,IL,Wallis and Futuna,4,1,Low
53,Non-binary,High School,Widowed,117507,685,45544,Auto,Self-employed,11,Good,0.375782652,228273,0,Smithtown,ME,Moldova,,1,Low
31,Male,High School,Married,34002,738,23618,Home,Unemployed,6,Fair,0.17305568,269695,3,Davismouth,AL,Peru,2,1,Low
33,Non-binary,Master's,Married,74333,693,47328,Personal,Unemployed,5,Poor,0.522094083,111726,,Port Mandyland,CA,Italy,1,0,Low
47,Female,Master's,Married,54022,775,9445,Business,Employed,12,Fair,0.244654442,177570,1,Reedberg,MT,Thailand,,1,Low
33,Non-binary,High School,Divorced,71171,642,,Personal,Employed,17,Excellent,0.4438352,152710,3,North Kennethborough,MS,Burkina Faso,1,1,High
55,Non-binary,High School,Divorced,98283,650,42997,Auto,Unemployed,17,Fair,0.486638679,178174,4,East John,ID,Argentina,0,0,Low
38,Female,PhD,Divorced,84934,720,,Auto,Employed,6,Good,0.477975951,116141,2,Myerstown,PR,Canada,3,1,Low
54,Non-binary,Master's,Single,62296,744,23778,Business,Self-employed,1,Excellent,0.203052807,173854,0,Port Sandra,DE,Bulgaria,1,0,High
52,Male,Bachelor's,Widowed,47260,608,23857,Home,Employed,6,Poor,0.346898528,,1,Shannonside,OK,Macao,4,1,Low
33,Male,Bachelor's,Divorced,65538,646,,Personal,Employed,12,Excellent,0.588080576,35469,3,Lake Emilyborough,CO,Seychelles,3,0,Low
30,Female,Bachelor's,Widowed,113925,611,48919,Business,Unemployed,19,Poor,0.470940166,28459,,Holmesmouth,RI,Malta,3,1,Low
25,Male,Bachelor's,Divorced,81971,646,48870,Personal,Employed,18,Excellent,0.377456979,,4,Lake Tina,WY,Sweden,,0,High
42,Female,Bachelor's,Widowed,47774,,,Auto,Unemployed,0,Excellent,0.509441806,275648,,South Vanessaville,KY,Montserrat,1,2,High
30,Non-binary,Master's,Widowed,114499,779,40584,Auto,Self-employed,6,Fair,0.284052614,76919,3,New Susan,AR,Mauritius,2,1,Low
19,Female,Bachelor's,Single,83471,793,8810,Personal,Self-employed,14,Excellent,0.511546796,145761,4,Baileystad,ND,Mauritania,1,0,Low
46,Non-binary,Master's,Widowed,56080,702,,Auto,Employed,13,Fair,0.227039443,57488,0,Newmanland,WY,Norfolk Island,3,1,Low
44,Non-binary,High School,Widowed,21320,733,34540,Home,Unemployed,4,Fair,0.336044823,,3,Lake Jesse,KS,United States Virgin Islands,0,1,Low
54,Female,Bachelor's,Divorced,54560,760,30826,Auto,Employed,11,Poor,0.568217248,21537,,Kennethberg,MP,Iceland,2,2,Low
19,Female,Master's,Divorced,115381,727,40970,Auto,Self-employed,14,Good,0.451811592,291530,1,Hunterside,SC,Namibia,0,0,Low
43,Male,Master's,Divorced,81683,693,10316,Home,Employed,2,Good,0.351319135,28304,3,Dyerfort,MS,Holy See (Vatican City State),0,0,Low
34,Non-binary,Master's,Married,78630,695,48757,Personal,Self-employed,12,Fair,0.430250038,,2,New Jason,NJ,Malawi,1,1,Low
19,Male,Master's,Widowed,106009,681,22351,Business,Self-employed,2,Excellent,0.587210053,162947,,North Daniel,AZ,Vietnam,4,0,Low
44,Female,Master's,Single,,791,30191,Home,Unemployed,13,Good,0.174938787,263286,3,Jacksonberg,UT,Slovakia (Slovak Republic),4,1,Low
28,Male,High School,Single,,690,29992,Home,Self-employed,3,Poor,0.112988652,,1,New Jasminefort,AL,Bouvet Island (Bouvetoya),1,2,Low
43,Female,PhD,Divorced,88309,724,7848,Auto,Self-employed,10,Excellent,0.253430491,103243,4,Fergusonchester,DC,Germany,,2,Low
51,Non-binary,High School,Divorced,62262,606,6667,Personal,Unemployed,4,Good,0.545189542,268305,,New Paulside,TN,Qatar,1,1,Low
35,Female,PhD,Single,39629,622,9537,Home,Unemployed,2,Fair,0.524358189,48636,1,Desireeville,DC,Sao Tome and Principe,4,0,Low
69,Non-binary,Bachelor's,Single,98672,792,5228,Home,Self-employed,1,Good,0.484613572,,1,Ashleyshire,DE,Japan,,1,Low
59,Male,High School,Divorced,83094,,,Home,Unemployed,6,Excellent,0.185278819,268737,1,New Melissa,SD,Burkina Faso,2,2,Low
29,Male,Master's,Single,67940,618,31030,Home,Unemployed,12,Poor,0.383985345,,1,Darlenehaven,CA,Panama,2,0,Low
38,Male,PhD,Divorced,,697,5209,Personal,Employed,15,Poor,0.446923387,,2,Port Brittany,WI,Canada,1,1,Low
66,Female,High School,Single,61291,639,7908,Personal,Unemployed,12,Poor,0.168999693,33810,1,Port David,WA,Mayotte,3,2,Low
43,Male,PhD,Married,100562,785,,Home,Self-employed,14,Poor,0.193412716,155884,4,New Yvonne,AS,Taiwan,2,0,Low
33,Male,Master's,Married,115066,799,31359,Home,Self-employed,5,Excellent,0.228569153,142354,,North Brianbury,OK,Mexico,4,1,Low
43,Male,PhD,Divorced,26441,,49939,Home,Unemployed,1,Excellent,0.415477428,169702,0,South Jeffreyshire,MI,Tanzania,0,2,Low
28,Non-binary,Bachelor's,Divorced,98311,689,34763,Business,Employed,8,Excellent,0.388665461,216062,0,West Deanna,TN,India,3,2,Low
67,Male,Bachelor's,Widowed,63148,660,16704,Auto,Self-employed,0,Fair,0.334344621,40643,0,Kimberlychester,TX,Tajikistan,4,2,Low
27,Non-binary,PhD,Married,114436,775,39216,Business,Employed,7,Excellent,0.102012992,158498,,Torresbury,FL,South Georgia and the South Sandwich Islands,2,1,Low
28,Male,Bachelor's,Single,94693,718,20928,Business,Unemployed,5,Fair,0.323849811,257028,2,Josephstad,MP,Georgia,4,2,Low
68,Non-binary,High School,Widowed,117284,716,44218,Business,Self-employed,19,Excellent,0.307246407,,0,Emilyview,GA,Samoa,,0,High
27,Male,High School,Single,88173,746,14800,Personal,Self-employed,8,Fair,0.538712246,289092,0,South Susanfurt,KY,Congo,1,1,Low
34,Non-binary,High School,Married,70807,745,39572,Business,Employed,18,Good,0.433975274,130451,3,South Audrey,MP,Saint Lucia,4,0,Low
53,Male,PhD,Married,29475,725,,Home,Employed,6,Poor,0.112003281,189327,4,Jamesborough,OH,Iran,0,0,Low
38,Female,High School,Divorced,99314,656,17158,Personal,Self-employed,8,Excellent,0.123889568,162247,4,Diazview,GU,Yemen,2,1,Low
